course,day,start_time,end_time,hours
CSC 0102,Monday,7:00 AM,10:00 AM,3
CSC 0102,Monday,10:00 AM,1:00 PM,3
CSC 0102,Monday,1:00 PM,4:00 PM,3
CSC 0102,Monday,4:00 PM,7:00 PM,3
CSC 0102,Tuesday,7:00 AM,10:00 AM,3
CSC 0102,Tuesday,10:00 AM,1:00 PM,3
CSC 0102,Tuesday,1:00 PM,4:00 PM,3
CSC 0102,Tuesday,4:00 PM,7:00 PM,3
CSC 0102,Wednesday,7:00 AM,10:00 AM,3
CSC 0102,Wednesday,10:00 AM,1:00 PM,3
CSC 0102,Wednesday,1:00 PM,4:00 PM,3
CSC 0102,Wednesday,4:00 PM,7:00 PM,3
CSC 0102,Thursday,7:00 AM,10:00 AM,3
CSC 0102,Thursday,10:00 AM,1:00 PM,3
CSC 0102,Thursday,1:00 PM,4:00 PM,3
CSC 0102,Thursday,4:00 PM,7:00 PM,3
CSC 0102,Friday,7:00 AM,10:00 AM,3
CSC 0102,Friday,10:00 AM,1:00 PM,3
CSC 0102,Friday,1:00 PM,4:00 PM,3
CSC 0102,Friday,4:00 PM,7:00 PM,3
CSC 0102,Saturday,7:00 AM,10:00 AM,3
CSC 0102,Saturday,10:00 AM,1:00 PM,3
CSC 0102,Saturday,1:00 PM,4:00 PM,3
CSC 0102,Saturday,4:00 PM,7:00 PM,3
CSC 0211,Monday,7:00 AM,10:00 AM,3
CSC 0211,Monday,10:00 AM,1:00 PM,3
CSC 0211,Monday,1:00 PM,4:00 PM,3
CSC 0211,Monday,4:00 PM,7:00 PM,3
CSC 0211,Tuesday,7:00 AM,10:00 AM,3
CSC 0211,Tuesday,10:00 AM,1:00 PM,3
CSC 0211,Tuesday,1:00 PM,4:00 PM,3
CSC 0211,Tuesday,4:00 PM,7:00 PM,3
CSC 0211,Wednesday,7:00 AM,10:00 AM,3
CSC 0211,Wednesday,10:00 AM,1:00 PM,3
CSC 0211,Wednesday,1:00 PM,4:00 PM,3
CSC 0211,Wednesday,4:00 PM,7:00 PM,3
CSC 0211,Thursday,7:00 AM,10:00 AM,3
CSC 0211,Thursday,10:00 AM,1:00 PM,3
CSC 0211,Thursday,1:00 PM,4:00 PM,3
CSC 0211,Thursday,4:00 PM,7:00 PM,3
CSC 0211,Friday,7:00 AM,10:00 AM,3
CSC 0211,Friday,10:00 AM,1:00 PM,3
CSC 0211,Friday,1:00 PM,4:00 PM,3
CSC 0211,Friday,4:00 PM,7:00 PM,3
CSC 0211,Saturday,7:00 AM,10:00 AM,3
CSC 0211,Saturday,10:00 AM,1:00 PM,3
CSC 0211,Saturday,1:00 PM,4:00 PM,3
CSC 0211,Saturday,4:00 PM,7:00 PM,3
CSC 0212,Monday,7:00 AM,9:00 AM,2
CSC 0212,Monday,9:00 AM,11:00 AM,2
CSC 0212,Monday,11:00 AM,1:00 PM,2
CSC 0212,Monday,1:00 PM,3:00 PM,2
CSC 0212,Monday,3:00 PM,5:00 PM,2
CSC 0212,Monday,5:00 PM,7:00 PM,2
CSC 0212,Monday,7:00 PM,9:00 PM,2
CSC 0212,Tuesday,7:00 AM,9:00 AM,2
CSC 0212,Tuesday,9:00 AM,11:00 AM,2
CSC 0212,Tuesday,11:00 AM,1:00 PM,2
CSC 0212,Tuesday,1:00 PM,3:00 PM,2
CSC 0212,Tuesday,3:00 PM,5:00 PM,2
CSC 0212,Tuesday,5:00 PM,7:00 PM,2
CSC 0212,Tuesday,7:00 PM,9:00 PM,2
CSC 0212,Wednesday,7:00 AM,9:00 AM,2
CSC 0212,Wednesday,9:00 AM,11:00 AM,2
CSC 0212,Wednesday,11:00 AM,1:00 PM,2
CSC 0212,Wednesday,1:00 PM,3:00 PM,2
CSC 0212,Wednesday,3:00 PM,5:00 PM,2
CSC 0212,Wednesday,5:00 PM,7:00 PM,2
CSC 0212,Wednesday,7:00 PM,9:00 PM,2
CSC 0212,Thursday,7:00 AM,9:00 AM,2
CSC 0212,Thursday,9:00 AM,11:00 AM,2
CSC 0212,Thursday,11:00 AM,1:00 PM,2
CSC 0212,Thursday,1:00 PM,3:00 PM,2
CSC 0212,Thursday,3:00 PM,5:00 PM,2
CSC 0212,Thursday,5:00 PM,7:00 PM,2
CSC 0212,Thursday,7:00 PM,9:00 PM,2
CSC 0212,Friday,7:00 AM,9:00 AM,2
CSC 0212,Friday,9:00 AM,11:00 AM,2
CSC 0212,Friday,11:00 AM,1:00 PM,2
CSC 0212,Friday,1:00 PM,3:00 PM,2
CSC 0212,Friday,3:00 PM,5:00 PM,2
CSC 0212,Friday,5:00 PM,7:00 PM,2
CSC 0212,Friday,7:00 PM,9:00 PM,2
CSC 0212,Saturday,7:00 AM,9:00 AM,2
CSC 0212,Saturday,9:00 AM,11:00 AM,2
CSC 0212,Saturday,11:00 AM,1:00 PM,2
CSC 0212,Saturday,1:00 PM,3:00 PM,2
CSC 0212,Saturday,3:00 PM,5:00 PM,2
CSC 0212,Saturday,5:00 PM,7:00 PM,2
CSC 0212,Saturday,7:00 PM,9:00 PM,2
CSC 0212.1,Monday,7:00 AM,8:00 AM,1
CSC 0212.1,Monday,8:00 AM,9:00 AM,1
CSC 0212.1,Monday,9:00 AM,10:00 AM,1
CSC 0212.1,Monday,10:00 AM,11:00 AM,1
CSC 0212.1,Monday,11:00 AM,12:00 PM,1
CSC 0212.1,Monday,12:00 PM,1:00 PM,1
CSC 0212.1,Monday,1:00 PM,2:00 PM,1
CSC 0212.1,Monday,2:00 PM,3:00 PM,1
CSC 0212.1,Monday,3:00 PM,4:00 PM,1
CSC 0212.1,Monday,4:00 PM,5:00 PM,1
